"EntityUrn","CtsUrn","Label","OptionalCtsGroupUrn"
"urn:cite:digAth:authors.auth1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Ἀθήναιος[1]-1.1@πατήρ[1]","Athenaeus of Naucratis","urn:cts:greekLit:tlg0008:"
"urn:cite:digAth:authors.auth2","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@οἱ[1]-1.1@ῥήτορες","the Athenian Orators",""
"urn:cite:digAth:authors.auth3","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Ἀρχίλοχον[1]","Archilochus","urn:cts:greekLit:tlg0232"
"urn:cite:digAth:authors.auth4","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[1]-1.2@ποιητῶν[1]","the poets after Archilochus",""
"urn:cite:digAth:authors.auth5","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Plutarch, the grammarian",""
"urn:cite:digAth:authors.auth6","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Leonides of Eleia, the grammarian",""
"urn:cite:digAth:authors.auth7","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Aemilianus Maurus, the grammarian",""
"urn:cite:digAth:authors.auth8","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Zoilus, the grammarian",""
"urn:cite:digAth:authors.auth9","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2Νικομηδεῖς[1]","Pontianus of Nicomedia, the philosopher",""
"urn:cite:digAth:authors.auth10","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2Νικομηδεῖς[1]","Democritus of Nicomedia, the philosopher",""
"urn:cite:digAth:authors.auth11","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@ὅτι-1.7@φησί","Archestratus of Syracuse or Gela",""
