EntityUrn,CiteUrn,CtsUrn,Text,Notes
"urn:cite:digAth:mentions.1","urn:cite:digAth:authors.auth11","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@Ἀρχέστρατος[1]-1.7@Γελῷος[1]","Ἀρχέστρατος ὁ Συρακούσιος",""
"urn:cite:digAth:mentions.2","urn:cite:digAth:authors.auth11","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@Ἀρχέστρατος[1]-1.7@Γελῷος[1]","Ἀρχέστρατος ὁ Γελῷος",""
"urn:cite:digAth:mentions.3","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@ὅτι-1.7@φησί","Γαστρονομίᾳ",""
"urn:cite:digAth:mentions.4","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@ὅτι-1.7@φησί","Ἡδυπαθείᾳ",""
"urn:cite:digAth:mentions.5","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@ὅτι-1.7@φησί","Δειπνολογίᾳ",""
"urn:cite:digAth:mentions.6","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@ὅτι-1.7@φησί","Ὀψοποιίᾳ",""
"urn:cite:digAth:mentions.7","urn:cite:digAth:works.work1","urn:cts:greekLit:tlg0008.tlg001.berti:1.7@ὅτι-1.7@φησί","ἐπικὸν τὸ ποίημα","generic"
"urn:cite:digAth:mentions.8","urn:cite:digAth:authors.auth5","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Πλούταρχος, γραμματικῶν ὁ χαριέστατος","Πλούταρχος, γραμματικῶν ὁ χαριέστατος"
"urn:cite:digAth:mentions.9","urn:cite:digAth:authors.auth6","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Λεωνίδης ὁ Ἠλεῖος, γραμματικῶν ὁ χαριέστατος","Λεωνίδης ὁ Ἠλεῖος, γραμματικῶν ὁ χαριέστατος"
"urn:cite:digAth:mentions.10","urn:cite:digAth:authors.auth7","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Αἰμιλιανὸς ὁ Μαυρούσιος, γραμματικῶν ὁ χαριέστατος"," Αἰμιλιανὸς ὁ Μαυρούσιος, γραμματικῶν ὁ χαριέστατος"
"urn:cite:digAth:mentions.11","urn:cite:digAth:authors.auth9","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2χαριέστατοι[1]","Ζωίλος, γραμματικῶν ὁ χαριέστατος","Ζωίλος, γραμματικῶν ὁ χαριέστατος"
"urn:cite:digAth:mentions.12","urn:cite:digAth:authors.auth9","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2Νικομηδεῖς[1]","φιλόσοφος Ποντιανὸς ὁ Νικομήδης",""
"urn:cite:digAth:mentions.13","urn:cite:digAth:authors.auth10","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2Νικομηδεῖς[1]","φιλόσοφος Δημόκριτος ὁ Νικομήδης",""

